name,latitude,longitude,Hotel_Name
Café China,40.749973,-73.98228,5th&Mad
Kanoyama,40.730709999999995,-73.98655,East Village Homestay
Contra,40.719916999999995,-73.98921999999999,Sago Hotel
Atomix,40.744408,-73.98292,Clarion Hotel Park Avenue
Kyo Ya,40.7266,-73.98526,The Buksar Hotel
Kajitsu,40.727759999999996,-73.98428,East Village Hotel
Agern,40.752340000000004,-73.9775,One Grand Central Place
Caviar Russe,40.760684999999995,-73.97355,Gxg Management
Tuome,40.724194,-73.9828,Acmhnyc.org
Tempura Matsui,40.74839,-73.97474,Oakwood at The Nash
Sushi Yasuda,40.75108,-73.97364,Apartments & Apartment Houses
Sushi Amane,40.751329999999996,-73.971725,Global Luxury Suites at Olympia House
Café Boulud,40.774390000000004,-73.96414,The Surrey
Claro,40.677395000000004,-73.98615,Mecánico
Satsuki,40.801243,-73.95187,St Nicholas Court
Sushi Noz,40.77384,-73.958275,The Franklin Hotel
Sushi Inoue,40.810448,-73.943726,Tricia
Meadowsweet,40.710353999999995,-73.96316999999999,Casa de Guela
Casa Enríque,40.743491999999996,-73.95425,Iraida palomino
Peter Luger,40.70986,-73.96263,Casa de Guela
Oxomoco,40.730057,-73.95538,"155 Greenpoint Avenue, Brooklyn, NY 11222 Apartments"
The Finch,40.68704,-73.96297,Illumination Bed & Breakfast
Faro,40.707584000000004,-73.923035,HOMEBASE STUDIOS
Senses,52.244583,21.005886,Old Town Grand Theatre Apartment 2
atelier Amaro,52.217079999999996,21.037679999999998,Hotel Łazienkowski - last accommodation
Aniar,53.271119999999996,-9.057078,Sheerwater House
Loam,53.27384,-9.044447,"The Gate Homes, Geata Na Cathrach"
Wild Honey Inn,53.03151,-9.2911,The Irish Arms
Chestnut,51.562588,-9.460854,Coughlan's Dun An Oir B&B
Mews,51.48285,-9.37234,The Waterfront Hotel
Ichigo Ichie,51.898167,-8.479933,Alojamiento cork
Chapter One,53.354374,-6.263786,Castle Hotel
Greenhouse,53.340042000000004,-6.258506,The Dawson Suite Apartments on St. Stephens Green
L'Ecrivain,53.33626999999999,-6.24834,Georgian Townhouse Group
Campagne,52.6559,-7.2464285,Billy Byrnes Gastro Bar & Venue
Heron & Grey,53.30143,-6.177574,Living Well with Dementia
Lady Helen,52.526095999999995,-7.188277,"Mount Juliet Estate, Autograph Collection"
House,51.94777,-7.713539599999999,Cliff House Hotel
Olympe,-22.96109,-43.206579999999995,Apartlagoabest
